S.No,name,title,culture,dateOfBirth,mother,father,heir,house,spouse,book1_A_Game_Of_Thrones,book2_A_Clash_Of_Kings,book3_A_Storm_Of_Swords,book4_A_Feast_For_Crows,book5_A_Dance_with_Dragons,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,popularity,isAlive,name1,gender_guess
506,Ezzara,blue grace,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,1,,0,0.006688963,1,Ezzara,unknown
507,Euron Greyjoy,,Ironborn,,Lady of House Sunderly,Quellon Greyjoy,,,,0,0,0,0,0,1,0,,,0,0,,4,0.739130435,1,Euron,unknown
508,Ezzelyno,red priest,Braavosi,,,,,R'hllor,,0,0,0,1,0,,,,,0,1,,0,0.013377926,1,Ezzelyno,unknown
509,Fern,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.006688963,1,Fern,female
510,Ferny,,Free Folk,,,,,,Craster,0,0,1,1,0,,,,0,1,0,,0,0.016722408,1,Ferny,female
511,Ferret,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.003344482,1,Ferret,unknown
512,Fogo,khalakka,Dothraki,,,,,,,1,0,0,0,0,,,,,0,1,,0,0.02006689,0,Fogo,unknown
513,Fornio,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.010033445,1,Fornio,unknown
514,Fralegg,,Ironborn,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.006688963,1,Fralegg,unknown
515,Frenya,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.043478261,0,Frenya,unknown
516,Frynne,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,1,Frynne,unknown
517,Gage,,,,,,,House Stark,,1,1,1,0,0,,,,,0,0,,0,0.033444816,1,Gage,male
518,Galladon of Morne,ser,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,1,Galladon,unknown
519,Gallard,archmaester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.010033445,1,Gallard,unknown
520,Galt,,Vale mountain clans,,,,,Stone Crows,,0,1,0,1,0,,,,,0,0,,0,0.003344482,1,Galt,male
521,Galtry the Green,ser,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0.013377926,1,Galtry,unknown
522,Galyeon of Cuy,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.006688963,1,Galyeon,unknown
523,Gareth the Grey,ser,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0.003344482,1,Gareth,unknown
524,Garigus,wisdom,,,,,,Alchemists' Guild,,0,0,1,0,0,,,,,0,1,,0,0.02006689,1,Garigus,unknown
525,Garizon,archmaester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Garizon,unknown
526,Gariss,,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,1,Gariss,unknown
527,Garrett Paege,,,,,,,House Paege,,0,0,0,1,1,,,,,0,0,,0,0.013377926,1,Garrett,unknown
528,Garth XII Gardener,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.013377926,1,Garth,unknown
529,Garth of Oldtown,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.02006689,0,Garth,unknown
530,Gascoyne,ser,,,,,,House Martell,,0,0,0,1,1,,,,,0,1,,0,0.013377926,1,Gascoyne,unknown
531,Gavin,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.006688963,1,Gavin,male
532,Gelmarr,,,,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0.026755853,0,Gelmarr,unknown
533,Gerren,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.016722408,1,Gerren,unknown
534,Gerold Lannister,casterly rock,Westerman,,,,,House Lannister,Alysanne Farman,0,0,0,0,0,,,,1,1,1,,0,0.086956522,0,Gerold,unknown
535,Ghael,lord,Astapori,,,,,,,0,0,1,0,1,,,,,0,1,,0,0.023411371,1,Ghael,unknown
536,Gillam,brother,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.010033445,1,Gillam,unknown
537,Gladden Wylde,ser,,,,,,House Wylde,,1,0,0,0,0,,,,,0,1,,0,0.016722408,0,Gladden,unknown
538,Glendon Flowers,ser,,196,,,,,,0,0,0,0,0,,,,,0,1,100,0,0.080267559,0,Glendon,unknown
539,Goady,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.016722408,1,Goady,unknown
540,Godwyn,,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,1,Godwyn,unknown
541,Gormond Drumm,,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0.006688963,1,Gormond,unknown
542,Gowen Baratheon,,,,,,,House Baratheon,Tya Lannister,1,0,0,0,0,,,,1,1,0,,0,0.016722408,1,Gowen,unknown
543,Grance Morrigen,ser,,,,,,House Morrigen,,0,0,0,0,0,,,,,0,1,,0,0.010033445,1,Grance,unknown
544,Grazdan,good master,Astapori,,,,,,,0,0,1,0,0,,,,,0,1,,0,0.013377926,0,Grazdan,unknown
545,Grazdan zo Galare,,Meereenese,,,,,House of Galare,,0,0,0,0,1,,,,,0,0,,0,0.02006689,1,Grazdan,unknown
546,Green Gergen,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,1,Green,unknown
547,Great Walrus,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.013377926,1,Great,unknown
548,Gretchel,,,,,,,House Arryn,,0,0,0,1,1,,,,,0,0,,0,0.016722408,1,Gretchel,unknown
549,Grey King,,Ironborn,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.076923077,1,Grey,unknown
550,Griffin King,,First Men,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.02006689,1,Griffin,unknown
551,Grigg,,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0.006688963,1,Grigg,unknown
552,Grisel,,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0.003344482,1,Grisel,unknown
553,Grisella,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.010033445,1,Grisella,unknown
554,Gulian,maester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.003344482,1,Gulian,unknown
555,Gulian Qorgyle,ser,,,,,,House Qorgyle,,0,0,0,1,0,,,,,0,1,,0,0.013377926,1,Gulian,unknown
556,Gurn,,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0.003344482,1,Gurn,unknown
557,Guyne,archmaester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Guyne,unknown
558,Gwayne Corbray,ser,,,,,,House Corbray,,0,0,0,1,0,,,,,0,1,,0,0.043478261,1,Gwayne,unknown
559,Gwayne Gaunt,ser,,,,,,House Gaunt,,0,0,1,0,0,,,,,0,1,,0,0.036789298,1,Gwayne,unknown
560,Gwin Goodbrother,,Ironborn,,,,,House Goodbrother,,0,0,0,1,0,,,,,0,0,,0,0.026755853,1,Gwin,unknown
561,Gyles,ser,,,,,,Kingsguard,,0,0,0,1,0,,,,,0,1,,0,0.003344482,1,Gyles,unknown
562,Gyleno Dothare,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.013377926,1,Gyleno,unknown
563,Gyles Farwynd,,Ironborn,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0.010033445,1,Gyles,unknown
564,Gwynesse Harlaw,,Ironborn,,,,,House Harlaw,,0,0,0,1,0,,,,,0,0,,0,0.056856187,1,Gwynesse,unknown
565,Gyles Grafton,,,,,,,House Grafton,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Gyles,unknown
566,Gyloro Dothare,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.013377926,1,Gyloro,unknown
567,Gyles III Gardener,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.02006689,1,Gyles,unknown
568,Gynir,,,,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0.026755853,0,Gynir,unknown
569,Haggon,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.02006689,1,Haggon,unknown
570,Gysella Goodbrother,,Ironborn,,,,,House Goodbrother,,0,0,0,1,0,,,,,0,0,,0,0.026755853,1,Gysella,unknown
571,Hali,,Free Folk,,,,,,,1,0,0,0,0,,,,,0,0,,0,0.02006689,0,Hali,female
572,Haldon,,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0.127090301,1,Haldon,unknown
573,Harbert Paege,ser,,,,,,House Paege,,0,0,0,0,0,,,,,0,1,,0,0.013377926,1,Harbert,unknown
574,Hamish the Harper,,,,,,,,,0,0,1,1,1,,,,,0,0,,0,0.02006689,0,Hamish,unknown
575,Halys Hornwood,hornwood,Northmen,,,,,House Hornwood,Donella Manderly,1,1,0,1,0,,,,1,1,1,,0,0.107023411,0,Halys,unknown
576,Harghaz,,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.023411371,0,Harghaz,unknown
577,Hareth (Mole's Town),,,,,,,Night's Watch,,0,0,0,0,0,,,,,0,0,,0,0.050167224,1,Hareth,unknown
578,Harlan Grandison,ser,,,,,,House Grandison,,0,0,1,0,0,,,,,0,1,,0,0.016722408,0,Harlan,unknown
579,Harle the Handsome,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.013377926,1,Harle,unknown
580,Harle the Huntsman,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.016722408,1,Harle,unknown
581,Harlon Botley,,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0.046822742,1,Harlon,unknown
582,Harmund Sharp,,Ironborn,,,,,House Sharp,,0,0,0,1,0,,,,,0,0,,0,0.010033445,1,Harmund,unknown
583,Harlon Greyjoy,,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0.063545151,1,Harlon,unknown
584,Harodon,archmaester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Harodon,unknown
585,Harra,,,,,,,House Whent,,0,1,0,0,0,,,,,0,0,,0,0.016722408,0,Harra,unknown
586,Harrag Sharp,,Ironborn,,,,,House Sharp,,0,1,0,0,0,,,,,0,0,,0,0.016722408,0,Harrag,unknown
587,Harrag Hoare,,Ironborn,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.026755853,1,Harrag,unknown
588,Harren Half-Hoare,,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0.016722408,1,Harren,unknown
589,Harren Botley,,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0.060200669,0,Harren,unknown
590,Harrold Osgrey,ser,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0.023411371,1,Harrold,unknown
591,Harry Sawyer,ser,,,,,,House Sawyer,,0,0,0,1,0,,,,,0,1,,0,0.016722408,1,Harry,unknown
592,Harsley,,,,,,,,,0,0,1,0,1,,,,,0,0,,0,0.003344482,0,Harsley,unknown
593,Harwyn Hoare,,,,,Qhorwyn Hoare,Halleck Hoare,,,0,0,0,0,0,,1,1,,0,0,,0,0.100334448,1,Harwyn,unknown
594,Hayhead,,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0.016722408,1,Hayhead,unknown
595,Hazrak zo Loraq,,Ghiscari,,,,,House of Loraq,,0,0,0,0,1,,,,,0,0,,0,0.010033445,1,Hazrak,unknown
596,Harwyn Plumm,ser,,,,,,House Plumm,,0,0,1,1,0,,,,,0,1,,0,0.046822742,1,Harwyn,unknown
597,Helicent Uffering,,,171,,,,House Uffering,,0,0,0,0,0,,,,,0,0,100,0,0.023411371,0,Helicent,unknown
598,Helliweg,maester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.010033445,1,Helliweg,unknown
599,Helly,,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0.013377926,1,Helly,female
600,Helya,,,,,,,House Greyjoy,,0,1,1,1,0,,,,,0,0,,0,0.016722408,1,Helya,unknown
601,Henk,,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0.006688963,1,Henk,male
602,Henly (House Ashford),,,,,,,House Ashford,,0,0,0,0,0,,,,,0,0,,0,0.006688963,1,Henly,unknown
603,Herbert Bolling,ser,,,,,,House Bolling,,0,0,0,1,0,,,,,0,1,,0,0.010033445,1,Herbert,unknown
604,Hendry Bracken,,,,,,,House Bracken,,0,1,0,0,0,,,,,0,0,,0,0.040133779,0,Hendry,unknown
605,Heward,,northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0.02006689,0,Heward,unknown
606,Hibald,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.013377926,1,Hibald,unknown
607,Hilmar Drumm,,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0.006688963,1,Hilmar,unknown
608,Hod,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.003344482,1,Hod,male
609,Hoke,,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0.010033445,1,Hoke,unknown
610,Holger,,Vale mountain clans,,,,,Stone Crows,,0,1,0,0,0,,,,,0,0,,0,0.003344482,1,Holger,male
611,Hop-Robin,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.033444816,1,Hop-Robin,unknown
612,Hugh Beesbury,ser,,,,,,House Beesbury,,0,0,0,1,0,,,,,0,1,,0,0.013377926,1,Hugh,unknown
613,Humfrey Clifton,ser,,,,,,House Clifton,,0,0,0,0,1,,,,,0,1,,0,0.013377926,1,Humfrey,unknown
614,Hunnimore,maester,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,1,Hunnimore,unknown
615,Husband,,,,,,,,Sharna,0,0,1,1,0,,,,1,1,0,,0,0.043478261,1,Husband,unknown
616,Illifer,ser,,240,,,,,,0,0,0,1,0,,,,,0,1,65,0,0.040133779,1,Illifer,unknown
617,Ironbelly,,,,,,,,,0,1,1,0,0,,,,,0,0,,0,0.010033445,1,Ironbelly,unknown
618,Jaehaerys Targaryen (son of Aegon II),prince,,123,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,6,0,0.18729097,0,Jaehaerys,unknown
619,Jaehaera Targaryen,princessqueen,Valyrian,123,,,,House Targaryen,Aegon III Targaryen,0,0,0,0,0,,,,0,1,1,10,0,0.280936455,0,Jaehaera,unknown
620,Jaggot,,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,1,Jaggot,unknown
621,Jaehaerys II Targaryen,,,,Betha Blackwood,Aegon V Targaryen,Aerys II Targaryen,,,0,0,0,0,0,1,0,0,,0,0,,0,0.494983278,0,Jaehaerys,unknown
622,Jaime Frey,,,299,,,,House Frey,,0,0,0,1,0,,,,,0,0,6,0,0.127090301,1,Jaime,unknown
623,Jaehaerys I Targaryen,,,,Alyssa Velaryon,Aenys I Targaryen,Aemon Targaryen,,,0,0,0,0,0,1,0,1,,0,0,,5,0.658862876,0,Jaehaerys,unknown
624,Jate,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,Jate,unknown
625,Jate Blackberry,,,,,,,House Blackberry,,0,0,1,0,0,,,,,0,0,,0,0.010033445,1,Jate,unknown
626,Jasper Waynwood,,,,,,,House Waynwood,,0,0,0,1,0,,,,,0,0,,0,0.056856187,1,Jasper,unknown
627,Jayde,,,,,,,Chataya's brothel,,0,0,1,0,0,,,,,0,0,,0,0.02006689,1,Jayde,female
628,Jeffory Norcross,ser,,,,,,House Norcross,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Jeffory,unknown
629,Jeffory Mallister,,,,,,,House Mallister,,0,1,0,0,0,,,,,0,0,,0,0.02006689,1,Jeffory,unknown
630,Jayne Bracken,,,,,,,House Bracken,,0,0,0,0,1,,,,,0,0,,0,0.030100334,1,Jayne,unknown
631,Squinty Jeyne,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0.006688963,1,Squinty,unknown
632,Jeyne Fossoway,,,,,,,House Fossoway of New Barrel,Gunthor Hightower,0,0,0,1,0,,,,1,1,0,,0,0.053511706,1,Jeyne,unknown
633,Jeyne Heddle,,,281,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,24,0,0.033444816,1,Jeyne,unknown
634,Jeyne Swann,,,,,,,House Swann,,0,0,1,0,0,,,,,0,0,,0,0.016722408,1,Jeyne,unknown
635,Jeyne Westerling (wife of Maegor I),queenblack bride,,27,,,,House Westerling,Alyn Tarbeck,0,0,1,0,0,,,,1,1,1,20,0,0.110367893,0,Jeyne,unknown
636,Jeyne Waters,,Westeros,171,,,,,,0,0,0,0,0,,,,,0,0,100,0,0.073578595,0,Jeyne,unknown
637,Jeyne Westerling,winterfell,Westermen,283,,,,House Westerling,Robb Stark,0,0,1,1,0,,,,0,1,1,22,0,0.424749164,1,Jeyne,unknown
638,Jocelyn Swyft,,,,,,,House Swyft,,0,0,0,1,1,,,,,0,0,,0,0.016722408,1,Jocelyn,unknown
639,Jodge,,,,,,,House Lannister,,0,1,0,0,0,,,,,0,0,,0,0.003344482,1,Jodge,unknown
640,Joanna Swyft,,,,,,,House Swyft,,0,0,1,1,0,,,,,0,0,,0,0.023411371,1,Joanna,unknown
641,Joanna Lannister,casterly rock,Westerman,245,,,,House Lannister,Tywin Lannister,1,1,1,1,1,,,,0,1,1,28,5,0.230769231,0,Joanna,unknown
642,Johanna Swann,,,,,,,House Swann,,0,0,0,0,0,,,,,0,0,,0,0.02006689,1,Johanna,unknown
643,Jommo,khal,Dothraki,,,,,,,1,0,0,1,0,,,,,0,0,,0,0.010033445,1,Jommo,unknown
644,Jommy,,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,0,,0,0.003344482,1,Jommy,unknown
645,Jon Cupps,ser,,,,,,House Cupps,Leyla Hightower,0,0,0,1,0,,,,1,1,1,,0,0.050167224,1,Jon,unknown
646,Jon Heddle,ser,,,,,,House Heddle,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Jon,unknown
647,Jon Hollard,ser,,,,,,House Hollard,,0,0,0,1,0,,,,,0,1,,0,0.026755853,1,Jon,unknown
648,Jon Penny,,,,,,,House Penny,,0,0,0,1,0,,,,,0,0,,0,0.006688963,1,Jon,unknown
649,Jon Penrose,ser,,,,,,House Penrose,,0,0,0,0,0,,,,,0,1,,0,0.016722408,1,Jon,unknown
650,Jon Pox,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Jon,unknown
651,Jon Vance,maester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.023411371,1,Jon,unknown
652,Jon Umber (Smalljon),,Northmen,,,,,House Umber,,1,1,1,1,1,,,,,0,0,,0,0.070234114,0,Jon,unknown
653,Jon Umber (Greatjon),last hearth,Northmen,,,,,House Umber,,1,1,1,1,1,,,,,0,1,,0,0.183946488,1,Jon,unknown
654,Jon Waters,ser,,171,,,,,,0,0,0,1,0,,,,,0,1,100,0,0.076923077,0,Jon,unknown
655,Jorquen,septon,,,,,,Night's Watch,,0,0,0,1,0,,,,,0,0,,0,0.003344482,1,Jorquen,unknown
656,Jorgen,,,,,,,House Webber,,0,0,0,0,0,,,,,0,0,,0,0,1,Jorgen,unknown
657,Joseran,maester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.003344482,1,Joseran,unknown
658,Joseth,,,,,,,House Stark,,1,1,0,0,0,,,,,0,0,,0,0.030100334,1,Joseth,unknown
659,Joseth Mallister,ser,,,,,,House Mallister,,0,0,0,0,0,,,,,0,1,,0,0.013377926,1,Joseth,unknown
660,Joss,,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0.003344482,1,Joss,male
661,Joss the Gloom,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.010033445,1,Joss,unknown
662,Joth Quickbow,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,1,Joth,unknown
663,Josua Willum,,,,,,,House Willum,,0,1,0,0,0,,,,,0,0,,0,0.013377926,1,Josua,unknown
664,Jurne,maester,,,,,,,,0,1,1,1,0,,,,,0,1,,0,0.013377926,1,Jurne,unknown
665,Jothos Slynt,,,,,,,House Slynt,,0,0,1,0,0,,,,,0,0,,0,0.023411371,1,Jothos,unknown
666,Jyck,,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0.030100334,0,Jyck,unknown
667,Jyzene,,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0.013377926,1,Jyzene,unknown
668,Kegs,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.016722408,1,Kegs,unknown
669,Kella,,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0.003344482,1,Kella,unknown
670,Kemmett Pyke,,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0.010033445,1,Kemmett,unknown
671,Kenned,,Ironborn,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.006688963,0,Kenned,unknown
672,Ketter,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,1,Ketter,unknown
673,Kirby Pimm,ser,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,1,Kirby,unknown
674,Kojja Mo,,Summer Isles,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Kojja,unknown
675,Kirth Vance,,,,,,,House Vance of Atranta,,0,0,1,1,0,,,,,0,0,,0,0.026755853,1,Kirth,unknown
676,Koss,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.036789298,0,Koss,unknown
677,Kromm,,ironborn,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0.006688963,0,Kromm,unknown
678,Kurz,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.036789298,0,Kurz,unknown
679,Kyle,ser,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0.026755853,1,Kyle,mostly_female
680,Kyle (brotherhood),,,,,,,Brotherhood without banners,,0,0,0,0,0,,,,,0,0,,0,0,0,Kyle,unknown
681,Kyle Royce,,,,,,,House Royce,,0,1,0,0,0,,,,,0,0,,0,0.02006689,1,Kyle,unknown
682,Kyleg,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.010033445,1,Kyleg,unknown
683,Kym,maester,,,,,,,,0,1,0,0,0,,,,,0,1,,0,0,1,Kym,female
684,Lamprey,,,,,,,House Baratheon of Dragonstone,,0,0,1,0,0,,,,,0,0,,0,0.010033445,1,Lamprey,unknown
685,Lancel V Lannister,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.02006689,1,Lancel,unknown
686,Lanna,,,285,,,,,,0,0,1,1,0,,,,,0,0,20,0,0.02006689,1,Lanna,unknown
687,Lanna (Happy Port),,Braavosi,286,,,,Happy Port,,0,0,0,1,0,,,,,0,0,19,0,0.026755853,1,Lanna,unknown
688,Larraq,,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.02006689,1,Larraq,unknown
689,Layna,,,279,,,,,,0,1,0,0,0,,,,,0,0,26,0,0.023411371,1,Layna,unknown
690,Lem,,,,,,,Brotherhood without banners,,0,0,1,1,0,,,,,0,0,,0,0.08361204,1,Lem,unknown
691,Leana Frey,,,299,,,,House Frey,,0,0,0,1,0,,,,,0,0,6,0,0.073578595,1,Leana,unknown
692,Lennocks,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.003344482,1,Lennocks,unknown
693,Lem (Standfast),,,161,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,100,0,0.013377926,0,Lem,unknown
694,Lenn,,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0.006688963,1,Lenn,unknown
695,Lenyl,,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,0.010033445,1,Lenyl,unknown
696,Lenwood Tawney,,Ironborn,,,,,House Tawney,,0,0,0,1,0,,,,,0,0,,0,0.010033445,1,Lenwood,unknown
697,Leo Tyrell (Longthorn),lord paramount of the mander,Reach,,,,,House Tyrell,,0,0,1,0,0,,,,,0,1,,0,0.053511706,1,Leo,unknown
698,Leona Tyrell,,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0.123745819,1,Leona,unknown
699,Leo Tyrell (son of Victor),ser,,,,,,House Tyrell,Alys Beesbury,0,0,1,1,0,,,,1,1,1,,0,0.130434783,1,Leo,unknown
700,Lester,,,,,,,House Lannister,,0,0,1,1,0,,,,,0,0,,0,0.016722408,1,Lester,male
701,Lew (guard),,Northmen,,,,,House Stark,,0,0,0,0,0,,,,,0,0,,0,0,1,Lew,unknown
702,Lewis Lanster,,,,,,,Windblown,,0,0,0,0,1,,,,,0,0,,0,0.006688963,1,Lewis,unknown
703,Lewys Piper,,Rivermen,,,,,House Piper,,0,0,0,1,1,,,,,0,0,,0,0.033444816,1,Lewys,unknown
704,Leyla Hightower,,,,,,,House Hightower,Jon Cupps,0,0,0,1,0,,,,1,1,0,,0,0.050167224,1,Leyla,unknown
705,Lia Serry,,,,,,,House Serry,Theodore Tyrell,0,0,1,1,0,,,,1,1,0,,0,0.137123746,1,Lia,unknown
706,Liane Vance,,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Liane,unknown
707,Lister,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.003344482,1,Lister,unknown
708,Long Lew,,,,,,,House Tully,,0,0,0,0,0,,,,,0,0,,0,0,1,Long,unknown
709,Lorcas,,,241,,,,,,0,0,0,1,0,,,,,0,0,64,0,0.010033445,1,Lorcas,unknown
710,Lorent Lorch,ser,,,,,,House Lorch,,0,0,0,1,1,,,,,0,1,,0,0.010033445,1,Lorent,unknown
711,Lorimer,ser,,,,,,House Lefford,,0,0,0,1,0,,,,,0,1,,0,0.013377926,0,Lorimer,male
712,Lorren,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.023411371,0,Lorren,unknown
713,Lothar,maester,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,1,Lothar,male
714,Lorent Tyrell,,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0.127090301,1,Lorent,unknown
715,Lotho Lornel,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.006688963,1,Lotho,unknown
716,Lucan,,,,,,,House Whent,,0,1,0,0,0,,,,,0,0,,0,0.013377926,0,Lucan,unknown
717,Lucamore Strong,ser,,,,,,House Strong,,0,0,0,1,0,,,,,0,1,,0,0.016722408,1,Lucamore,unknown
718,Lucantine Woodwright,ser,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.010033445,1,Lucantine,unknown
719,Lucas Nayland,ser,,,,,,House Nayland,,0,0,0,0,0,,,,,0,1,,0,0.003344482,1,Lucas,unknown
720,Lucas Roote,,,,,,,House Roote,,0,0,1,0,0,,,,,0,0,,0,0.013377926,0,Lucas,unknown
721,Lucifer Hardy,lord,,,,,,House Hardy,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Lucifer,unknown
722,Luco Prestayn,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.003344482,1,Luco,unknown
723,Lucimore Botley,,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0.046822742,1,Lucimore,unknown
724,Lucos,septon,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.006688963,1,Lucos,unknown
725,Luke of Longtown,,,,,,,Night's Watch,,0,0,0,0,1,,,,,0,0,,0,0.013377926,1,Luke,unknown
726,Lucas Tyrell,,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0.123745819,1,Lucas,unknown
727,Lum,,westermen,,,,,House Lannister,,0,0,1,1,0,,,,,0,0,,0,0.013377926,1,Lum,unknown
